region,sc_duringchoice_amp_loc,sc_duringchoice_slope_last,sc_duringchoice_amp_slope,sc_duringchoice_slope_last_n,sc_duringchoice_move_shape,sc_duringchoice,sc_duringchoice_move_init,sc_duringchoice_integrator,sc_duringchoice_regtype,sc_duringstim_amp_slope,sc_duringstim,sc_duringstim0,sc_duringstim_move_init,sc_duringstim_integrator,sc_duringstim_regtype,sc_stim_regtype,amp_stim_s,amp_choice_s,amp_stim_se,amp_stim_se1,sigma_stim_s,sigma_stim_s_prime,stim_processor,stim_processor_loose,has_stim,has_choice,mixed_stim_choice,duringstim_label,duringchoice_label
MDRN,True,True,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SPVC,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ECU,True,True,True,True,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
COPY,True,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PYR,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
FOTU,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
DEC,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SPA,False,False,True,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LGv,False,False,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
NDB,False,False,True,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
NLL,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SAG,False,False,False,False,,,0,0,,False,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,1.0523357558557536,,1.0,False,True,True,False,False,stim_early,
SSp-ul,False,False,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.7075496181278274,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
VM,False,False,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.0728773896086743,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
CM,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SIM,False,True,True,True,,0.6654105866636665,0,1,0.5,True,0.8806890417917552,1.0,0,1,0.5,0.1,0.0,1.93279181633714,0.0,0.2618441160061189,0.0,0.11931095820824479,False,False,True,True,True,integrator,integrator
MH,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SOC,False,False,True,True,,0.4841829803545057,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,7.83565119402554,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
P5,False,False,False,True,,1.0,0,0,,True,1.0,1.0,0,1,0.5,,0.0,2.569580692450862,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,
PAR,True,False,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,2.979858947223102,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
VISpl,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ENTl,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISli,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISl,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LRN,True,True,True,True,1.0,1.0,1,0,1.0,True,,,1,-1,1.0,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,move,move
DCO,False,False,True,True,,1.0,0,1,0.5,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.3150302522394979,,1.0,False,True,True,False,False,stim_early,integrator
DR,False,False,False,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
MEA,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PRM,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
ANcr2,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
ANcr1,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PRP,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISpm,True,False,True,True,,,0,0,,True,0.0,0.0,0,0,0.0,0.1,0.8914090947785818,0.0,0.0,0.7542063165937813,1.0,1.0,True,True,True,False,False,stim,
GRN,True,True,True,True,1.0,0.7325173893052251,1,0,1.0,True,0.6598581141665285,0.6598581141665285,1,0,1.0,,3.0853651419104624,5.985452862023967,0.0,0.0,0.34014188583347144,0.34014188583347144,False,False,True,True,True,move,move
LING,False,False,True,False,,1.0,0,1,0.5,True,0.49968681227412926,0.49968681227412926,0,1,0.5,,2.579527835566739,2.5762983526090197,0.0,0.0,0.5003131877258707,0.5003131877258707,False,False,True,True,True,integrator,integrator
PFL,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
MS,False,False,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ILA,False,False,True,True,,0.5227344637610268,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,0.8393605239149435,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
MARN,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,4.150767833083487,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
VeCB,False,False,True,True,,0.5261640445282328,0,1,0.5,True,0.5293326928765963,0.5293326928765963,0,1,0.5,,4.3262361848523545,4.865471247076976,0.0,0.0,0.4706673071234037,0.4706673071234037,False,False,True,True,True,integrator,integrator
EPd,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LDT,False,False,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SMT,False,False,True,True,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,3.243271278547278,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
VII,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,3.992463245330676,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
BLA,True,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CEA,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
AM,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
IAD,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
OT,False,False,False,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
SSp-ll,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
GPi,True,True,True,True,1.0,1.0,1,0,1.0,True,,,1,-1,1.0,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,move,move
AUDd,True,True,True,True,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ORBl,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISpor,True,True,True,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CLI,True,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SSp-un,False,True,True,False,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
PCN,False,False,False,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
AAA,False,False,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
FS,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
RPF,True,True,True,True,1.0,1.0,1,0,1.0,True,1.0,1.0,1,0,1.0,,0.0,4.111557534515661,0.0,0.0,0.0,0.0,False,False,False,True,False,move,move
TR,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LHA,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
BST,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
LPO,True,True,True,True,1.0,0.522389630162706,1,0,1.0,True,,,1,-1,1.0,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,move,move
FC,True,True,True,False,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
PAA,True,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
